Code ID,Detected Bug Line,Generated Explanation
16,6.0,"The bug occurs at the line `.writeData(""rt"", 8, 0)`. This code relates to mode for editing vectors at runtime. According to the known bug manual retrieved via MCP, This function can only work with runtime data. It cannot be put into
RDI_BEGIN/RDI_END() because it can only edit vector data and cannot execute vectors.
It does not support insertSub().
Supported runtime commands
Function Data type More information
writeVec(string rtv, int vecPos) vector <ARRAY_I>: Different
vectors per site.
rdi.smartVec().writeVec()
ARRAY_I: The same vector on all
sites.
writeBit(string rtv, int bitPos)
expectBit(string rtv, int bitPos)
vector <ARRAY_I>: Different
bitStream per site.
rdi.smartVec().writeBit()
rdi.smartVec().expectBit()
ARRAY_I: The same bitStream on all
sites.
writeData(string rtv, int bitNum,
int bitPos)
expectData(string rtv, int bitNum,
int bitPos)
ARRAY_I or ARRAY_LL: Different
data per site.
rdi.smartVec().writeData()
rdi.smartVec().expectData()
Int or long long: The same data
on all sites.
writeParData(string rtv, int bitPos) ARRAY_I or ARRAY_LL: The different
data per site.
rdi.smartVec().writeParData()
Int or long long: The same data
on all sites.
Syntax
A statement example that download() works together with write...() and
expect...() commands:
rdi.smartVec().download();
rdi.smartVec().pin(pName).write...(""rtData"",...).download();
rdi.smartVec().pin(pName).expect...(""rtData"",...).download();"
32,2.0,"The bug occurs at the line `rdi.port(""pt1"").dc().pin(""dig2"").vForce(1 uA).burst();`. This code relates to rdi.port(TA::MULTI_PORT).func()
This function allows multi-port labels to be combined to form a new burst. It is used for
dynamic mode in the func() class only.Multi-port burst with .port(TA::MULTI_PORT). According to the known bug manual retrieved via MCP, Related information
rdi.id().getMultiPassFail()
rdi.port(TA::MULTI_PORT).func()
Functional changes
Introduced in SmartRDI 2.1.0
SmartRDI 7.6.1: Multi-port burst labels are supported in dynamic mode.
rdi.func().burstRunTime()
Creates an empty burst label and specifies the maximum number of labels to be
patched.
SmartRDI uses this function to generate an empty burst label and then applies the
firmware command SQPG to patch the burst content.
You can use only one burstRunTime() command for one port.
Use rdi.id().getMultiPassFail() to retrieve the results from all the patterns in the created
burst label.
Syntax
List of parameters
Parameter Description
sRunTime The runtime value.
iMaxNum The maximum number of burst labels to be patched.
11  RDI_BEGINRDI_BEGIN();();
22  ......
33  rdirdi..portport((""pt1""""pt1"").).funcfunc((""id1""""id1"").).burstburst((""MPBurst1""""MPBurst1"").).executeexecute();();
44  ......
55  rdirdi..portport((""pt2""""pt2"").).funcfunc((""id2""""id2"").).burstburst((""MPBurst2""""MPBurst2"").).executeexecute();();
66  ......
77  RDI_ENDRDI_END();();
88    
99  intint pf  pf == rdi rdi..idid((""id1""""id1"").).getPassFailgetPassFail();();  // returns 0// returns 0
1010  ARRAY_I ary2 ARRAY_I ary2 == rdi rdi..idid((""id1""""id1"").).getMultiPassFailgetMultiPassFail();();    // returns { 0,1// returns { 0,1
1111    
1212  intint pf  pf == rdi rdi..idid((""id1""""id1"").).getPassFailgetPassFail();();  // returns 1// returns 1
1313  ARRAY_I ary3 ARRAY_I ary3 == rdi rdi..idid((""id2""""id2"")."
25,1.0,"The bug occurs at the line `ARRAY_I write_data(2); // Define a variable for a dual-site test`. This code relates to rdi.protocol().write()
Writes a piece of data on a specified address at runtime. According to the known bug manual retrieved via MCP, Functional changes
Introduced in SmartRDI 2.1.0
rdi.protocol().write()
Writes a single piece of data on a specified address.
Syntax
List of parameters
Parameter Description
iAddr The address to write.
iData The data to write.
sData The string containing the data to write at runtime. Refer to Changing the parameter value at runtime
with SmartRDI.
aiBurstData The array containing the burst of data to be written.
Examples
Write specific data
Write at runtime
Topic 141705
11  rdirdi..protocolprotocol().().writewrite((longlong  longlong iAddr iAddr,,  longlong  longlong iData iData););
22  rdirdi..protocolprotocol().().writewrite((longlong  longlong iAddr iAddr,,  longlong iData iData););
33  rdirdi..protocolprotocol().().writewrite((longlong  longlong iAddr iAddr,,  intint iData iData););
44  rdirdi..protocolprotocol().().writewrite((longlong iAddr iAddr,,  longlong iData iData););
55  rdirdi..protocolprotocol().().writewrite((longlong iAddr iAddr,,  intint iData iData););
66  rdirdi..protocolprotocol().().writewrite((intint iAddr iAddr,,  longlong iData iData););
77  rdirdi..protocolprotocol().().writewrite((intint iAddr iAddr,,  intint iData iData););
88  rdirdi..protocolprotocol().().writewrite((longlong  longlong iAddr iAddr,,  constconst  stringstring  &&sDatasData););
99  rdirdi..protocolprotocol().().writewrite((longlong  longlong iAddr iAddr,,  constconst ARRAY_I  ARRAY_I &&aiBurstDataaiBurstData););
1010  rdirdi..protocolprotocol()."
10,2.0,"The bug occurs at the line `rdi.pmux(4).module(""02"").readHumanSeniority().execute();`. This code relates to Reads the actual measured humidity of the selected PMUX card from the hardware and
stores it into a software cache.. According to the known bug manual retrieved via MCP, For retrieving the read value from the software cache, see getHumSensor().
Example
See also the Set and read thresholds, read actual values example in Accessing PMUX
sensors.
Related information
Accessing PMUX sensors
PMUX01 command HumidityAct
Functional changes
Introduced in SmartRDI 2.4.4
readHumThresh()
Reads the humidity alarm threshold of the selected PMUX card from the hardware and
stores it into a software cache.
Syntax
List of parameters
There are no parameters.
Return value
There is no return value.
For retrieving the read value from the software cache, see getHumThresh().
Example
11  RDI_BEGINRDI_BEGIN();();
22    rdi  rdi..pmuxpmux((44).).modulemodule((""02""""02"").).readHumSensorreadHumSensor().().executeexecute();();
33  RDI_ENDRDI_END();();
44    
55  intint hum  hum == rdi rdi..idid((44).).getHumSensor getHumSensor ((""02""""02""););
Topic 152289
readHumThresh();
11  RDI_BEGINRDI_BEGIN();();
22    rdi  rdi..pmuxpmux((22).).modulemodule((""02""""02"").).readHumThreshreadHumThresh().().executeexecute();();
33  RDI_ENDRDI_END();();
44    
55  intint humidityThreshold  humidityThreshold == rdi rdi..idid((22).).getHumThreshgetHumThresh((""02""""02""););"
26,1.0,"The bug occurs at the line `anaWaveform wav1(""wav1""), wav2(""wav2""), wav3(""wav3"");`. This code relates to rdi.dc().addWaveform()
Adds one or more waveforms in an execute() operation.
This function supports digital cards and DC Scale cards (PMU and DPS operating
modes).. According to the known bug manual retrieved via MCP, Related information
How to use PPMU as Arbitrary Waveform Generator (AWG)
rdi.dc().waveform()
Functional changes
Introduced in SmartRDI 2.1.0
rdi.dc().addWaveform()
Adds one or more waveforms in an execute() operation.
This function supports digital cards and DC Scale cards (PMU and DPS operating
modes).
It can work together with vForce(), iForce(), iClamp(), and vClamp() actions. In
addition, iMeas(), vMeas() or viMeas() can be used to the force or clamp actions.
measWait() can be used to the measurement as well: force waveform() +
addWaveform() + iMeas()/vMeas()/viMeas() + measWait().
The waveform() plus repeat() can be taken as the first waveform group.
Note  Do not support force addWaveform() parallel in one execute().
anaWaveform vClampWave (""vClampWave"");
vClampWave.definition(TM::RAMP).direction(TM::NEG)
          .samples(100).periods(1).min(-25 V).max(-1 V);
rdi.dc().pin(""AVI_01"").iForce(1 mA)
                      .iForceRange(10 mA)
                      .vClamp(-10, 10)
                      .vForceRange(30 V)
                      .execute();
RDI_BEGIN();
  rdi.dc().pin(""AVI_01"").vClamp()
                        .waveform(vClampWave)
                        .FS(1 kHz)
                        .execute();
  rdi.wait(1 ms);
RDI_END();
rdi.dc().pin(""AVI_01"").disconnect().execute();
Topic 355546"
23,1.0,"The bug occurs at the line `// You can get a combined result of all readBit()/readData() inside`. This code relates to  burstUpload will help to reduce the result uploading time. The results of multiple smartVec read commands. According to the known bug manual retrieved via MCP, Common upload with combined results retrieval
This example uses burstUpload() to combine multiple results into a common upload,
and retrieves combined results through a common result ID.
RDI_BEGIN();
 ...
   rdi.digCap().burstUpload().begin();
      rdi.smartVec();             // register setting 1
      rdi.digCap(""10M"").pin(A).samples(1000).execute();
      rdi.smartVec();            // register setting 2
      rdi.digCap(""20M"").pin(A).samples(2000).execute(); 
      rdi.smartVec();            // register setting 3
      rdi.digCap(""30M"").pin(A).samples(4000).execute();     
   rdi.digCap().burstUpload().end();
 ...
RDI_END();
ARRAY_I vec1,vec2,vec3;
vec1=rdi.id(""10M"").getVectorBit();
vec2=rdi.id(""20M"").getVectorBit();
vec3=rdi.id(""30M"").getVectorBit();
RDI_BEGIN();
 ...
   rdi.digCap(""bid"").burstUpload().begin();
      rdi...
      rdi.digCap().pin(A).samples(1000).execute();
      rdi...
      rdi.digCap().pin(A).samples(2000).execute(); 
      rdi...
      rdi.digCap().pin(A).samples(4000).execute();     
   rdi.digCap().burstUpload().end();
 ...
RDI_END();
rdi.id(""bid"").getVector();
rdi.id(""bid"").getVectorBit();"
4,3.0,"The bug occurs at the line `rdi.dc().pin(m_rMcd.sP_VS).vForce(31 V).vForceRange(30 V).iForceRange(50 mA).iClamp(50 mA, -50 mA)`. This code relates to method order of arguments. According to the known bug manual retrieved via MCP, Workflow
The following code structure is an example with numbers to indicate the execution
steps.
Note  The SEMI_PARALLEL_CONFIG setup for specific test actions cannot be
changed dynamically between multiple executions.
The following figure shows the execution sequence of the code structure for the test
block level.
SEMI_PARALLEL_CONFIG semipara; 
semipara.group(1).add(1).add(3);
semipara.group(2).add(2).add(4);
ON_FIRST_INVOCATION_BEGIN();
  ...(1)
  FOR_SEMI_PARALLEL_TEST_BEGIN(semipara);
    if(GET_CURRENT_SEMI_PARALLEL_GROUP_NUMBER() == 1)
       ...(2.1)
    else
       ...(2.2) 
       ...(3) 
  FOR_SEMI_PARALLEL_TEST_END();
  ...(4)
ON_FIRST_INVOCATION_END();"
31,1.0,"The bug occurs at the line `vector<string> vec_port1;`. This code relates to rdi.func().burstRunTime()
Creates an empty burst label and specifies the maximum number of labels to be
patched.
SmartRDI uses this function to generate an empty burst label and then applies the
firmware command SQPG to patch the burst content. According to the known bug manual retrieved via MCP, Related information
rdi.id().getMultiPassFail()
rdi.port(TA::MULTI_PORT).func()
Functional changes
Introduced in SmartRDI 2.1.0
SmartRDI 7.6.1: Multi-port burst labels are supported in dynamic mode.
rdi.func().burstRunTime()
Creates an empty burst label and specifies the maximum number of labels to be
patched.
SmartRDI uses this function to generate an empty burst label and then applies the
firmware command SQPG to patch the burst content.
You can use only one burstRunTime() command for one port.
Use rdi.id().getMultiPassFail() to retrieve the results from all the patterns in the created
burst label.
Syntax
List of parameters
Parameter Description
sRunTime The runtime value.
iMaxNum The maximum number of burst labels to be patched.
11  RDI_BEGINRDI_BEGIN();();
22  ......
33  rdirdi..portport((""pt1""""pt1"").).funcfunc((""id1""""id1"").).burstburst((""MPBurst1""""MPBurst1"").).executeexecute();();
44  ......
55  rdirdi..portport((""pt2""""pt2"").).funcfunc((""id2""""id2"").).burstburst((""MPBurst2""""MPBurst2"").).executeexecute();();
66  ......
77  RDI_ENDRDI_END();();
88    
99  intint pf  pf == rdi rdi..idid((""id1""""id1"").).getPassFailgetPassFail();();  // returns 0// returns 0
1010  ARRAY_I ary2 ARRAY_I ary2 == rdi rdi..idid((""id1""""id1"").).getMultiPassFailgetMultiPassFail();();    // returns { 0,1// returns { 0,1
1111    
1212  intint pf  pf == rdi rdi..idid((""id1""""id1"").).getPassFailgetPassFail();();  // returns 1// returns 1
1313  ARRAY_I ary3 ARRAY_I ary3 == rdi rdi..idid((""id2""""id2"")."
17,1.0,"The bug occurs at the line `RDI_BEGIN();`. This code relates to getting the first fail vector.. According to the known bug manual retrieved via MCP, rdi.id().getFailCount()
Returns fail count.
Syntax
List of parameters
Parameter Description
pin Specifies a pin for which to get the fail count.
Return value
The return value is an integer indicating the number of errors.
Example
Related information
rdi.emap().failCount()
Functional changes
Introduced in SmartRDI 2.4.4
rdi.id().getFailCyc()
Returns positions of all failing cycles.
Syntax
int getFailCount(string pin);
11  ON_FIRST_INVOCATION_BEGINON_FIRST_INVOCATION_BEGIN();();
22    
33    RDI_BEGIN  RDI_BEGIN();();
44      rdi    rdi..smartVecsmartVec((""a""""a"").).pinpin((""pA""""pA"").).writePatwritePat((""0,1,1,H,H,H,L""""0,1,1,H,H,H,L"").).failCountfailCount
55    RDI_END  RDI_END();();
66    
77  ON_FIRST_INVOCATION_ENDON_FIRST_INVOCATION_END();();
88    
99  intint fcount fcount==rdirdi..idid((""a""""a"").).getFailCountgetFailCount((""pA""""pA""););
Topic 152273
ARRAY_LL getFailCyc(string pin);"
27,4.0,"The bug occurs at the line `rdi.wait(3 ms);`. This code relates to rdi.dc().iMeasRange()
Specifies a current measurement range.SmartRDI will check the time between iMeasRange() and the next event on the pin. . According to the known bug manual retrieved via MCP, Functional changes
Introduced in SmartRDI 2.1.0
SmartRDI 7.5.0: New syntax for ""LAST"" measurements of FVI16.
rdi.dc().iMeasRange()
Specifies a current measurement range.
Syntax
List of parameters
Parameter Description
dIMeasRange The range of the current to measure.
iMeasRange() can be used in both code‑based and pattern‑based modes. It is usually
used in the pattern‑based mode.
SmartRDI will check the time between iMeasRange() and the next event on the pin. A
warning message will issued if the time is not long enough and you need to insert the
wait time manually.
Return value
A reference to the dcBase object.
Application notes
Programming both the force and the measurement range of AVI64 and FVI16
AVI64 and FVI16 do not have different force and measurement ranges.
Thus using iForceRange() and iMeasRange() within one SmartRDI command that
is terminated by rdi.execute() will not result in different ranges, but the current
measurement range will finally be active. The applied sequence is
1. Set current force range (active for a short time)
2. Set current measurement range (overrides the current force range)
Topic 143537
rdi.dc().iMeasRange(double dIMeasRange);"
